City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
68,Karaton,ID,2022-10-02 20:45:12,-6.3424,106.1045,74.14,93,91,0.4
69,Podporozhye,RU,2022-10-02 20:45:13,60.9112,34.1706,38.35,93,61,4.97
70,Abu Dhabi,AE,2022-10-02 20:45:05,24.4667,54.3667,87.82,73,0,4.61
71,Buala,SB,2022-10-02 20:45:13,-8.145,159.5921,82.04,76,23,4.63
72,Eureka,US,2022-10-02 20:45:14,40.8021,-124.1637,75.67,76,30,1.99
73,Srednekolymsk,RU,2022-10-02 20:45:14,67.45,153.6833,24.37,89,98,1.5
74,Margate,GB,2022-10-02 20:45:15,51.3813,1.3862,51.31,63,3,5.57
75,Golden,US,2022-10-02 20:45:16,39.7555,-105.2211,75.25,41,75,8.01
76,Jamame,SO,2022-10-02 20:45:16,0.0722,42.7506,74.89,72,90,15.08
77,Port Blair,IN,2022-10-02 20:45:18,11.6667,92.75,80.78,83,100,12.01
78,Ostrovnoy,RU,2022-10-02 20:45:18,68.0531,39.5131,35.51,84,78,10.0
79,Ipatinga,BR,2022-10-02 20:45:19,-19.4683,-42.5367,84.27,39,0,9.22
80,Avarua,CK,2022-10-02 20:45:19,-21.2078,-159.775,75.25,64,20,14.97
81,Touros,BR,2022-10-02 20:45:20,-5.1989,-35.4608,77.18,74,8,15.3
82,Sohbatpur,PK,2022-10-02 20:45:20,28.5202,68.5434,81.97,44,0,5.73
83,Cherskiy,RU,2022-10-02 20:45:20,68.75,161.3,27.12,94,100,10.71
84,San Patricio,US,2022-10-02 20:45:21,28.017,-97.5169,86.09,33,100,8.81
85,Tevaitoa,PF,2022-10-02 20:45:21,-16.7833,-151.5,78.48,74,82,14.56
86,Tilichiki,RU,2022-10-02 20:45:22,60.4667,166.1,32.58,83,100,4.5
87,Khatanga,RU,2022-10-02 20:45:22,71.9667,102.5,24.3,96,100,10.69
88,Clyde River,CA,2022-10-02 20:45:23,70.4692,-68.5914,28.63,80,100,5.75
89,Sao Filipe,CV,2022-10-02 20:45:23,14.8961,-24.4956,78.42,70,87,9.31
90,Bubaque,GW,2022-10-02 20:45:23,11.2833,-15.8333,81.36,77,76,8.97
91,Jumla,NP,2022-10-02 20:45:29,29.2747,82.1838,52.23,85,0,4.07
92,Chumikan,RU,2022-10-02 20:45:29,54.7183,135.315,36.82,81,5,21.79
93,Aguimes,ES,2022-10-02 20:45:30,27.9054,-15.4461,71.65,83,40,15.01
94,Changji,CN,2022-10-02 20:45:30,44.0167,87.3167,36.39,55,0,2.24
95,Nisia Floresta,BR,2022-10-02 20:45:31,-6.0911,-35.2086,82.78,76,14,9.98
96,Dunedin,NZ,2022-10-02 20:45:31,-45.8742,170.5036,49.28,69,7,20.4
97,Methoni,GR,2022-10-02 20:42:12,36.8197,21.7049,73.22,75,0,15.97
98,Bredasdorp,ZA,2022-10-02 20:45:32,-34.5322,20.0403,53.53,91,3,5.79
99,Dikson,RU,2022-10-02 20:45:32,73.5069,80.5464,30.18,92,100,20.47
100,Saint-Augustin,CA,2022-10-02 20:45:33,51.226,-58.6502,45.03,46,97,12.8
101,Cururupu,BR,2022-10-02 20:45:33,-1.8283,-44.8683,79.38,77,88,6.76
102,Iqaluit,CA,2022-10-02 20:45:34,63.7506,-68.5145,33.53,64,75,9.22
103,Pisco,PE,2022-10-02 20:45:34,-13.7,-76.2167,68.05,64,0,13.8
104,Tuktoyaktuk,CA,2022-10-02 20:45:34,69.4541,-133.0374,26.6,86,100,8.05
105,Rossland,CA,2022-10-02 20:43:10,49.0831,-117.8022,76.91,35,0,3.56
106,Barra Do Garcas,BR,2022-10-02 20:43:33,-15.89,-52.2567,81.18,74,75,0.0
107,Muroto,JP,2022-10-02 20:45:35,33.2833,134.15,75.31,71,60,9.33
108,East London,ZA,2022-10-02 20:45:36,-33.0153,27.9116,67.44,90,14,14.63
109,Sioux Lookout,CA,2022-10-02 20:43:11,50.1001,-91.917,66.27,55,40,6.91
110,Morro Bay,US,2022-10-02 20:45:36,35.3658,-120.8499,76.59,65,15,7.0
111,Broome,US,2022-10-02 20:45:37,42.2506,-75.833,60.6,67,40,10.36
112,Varhaug,NO,2022-10-02 20:45:37,58.6147,5.6457,53.47,83,6,14.25
113,Muros,ES,2022-10-02 20:45:38,42.7762,-9.0603,65.08,78,98,8.59
114,Bandarbeyla,SO,2022-10-02 20:45:38,9.4942,50.8122,77.61,79,100,22.1
115,Camargo,MX,2022-10-02 20:45:39,27.6667,-105.1667,82.74,26,61,7.72
116,Thompson,CA,2022-10-02 20:45:39,55.7435,-97.8558,71.76,37,40,20.71
117,Shimoda,JP,2022-10-02 20:45:40,34.6667,138.95,67.1,80,100,8.84
118,Qaanaaq,GL,2022-10-02 20:45:40,77.484,-69.3632,9.45,72,19,7.54
119,Narasannapeta,IN,2022-10-02 20:45:41,18.4167,84.05,78.49,87,100,4.99
120,Adrar,MR,2022-10-02 20:45:41,20.5022,-10.0711,92.28,26,100,9.35
121,Chapais,CA,2022-10-02 20:45:41,49.7834,-74.8492,44.38,38,37,5.41
122,Pacific Grove,US,2022-10-02 20:45:42,36.6177,-121.9166,74.39,67,0,6.91
123,Bambous Virieux,MU,2022-10-02 20:45:42,-20.3428,57.7575,71.22,73,75,9.22
124,Cockburn Town,TC,2022-10-02 20:42:13,21.4612,-71.1419,83.8,70,99,5.26
125,Saldanha,ZA,2022-10-02 20:45:43,-33.0117,17.9442,51.85,81,0,3.91
126,Kodiak,US,2022-10-02 20:45:43,57.79,-152.4072,53.11,71,100,3.44
