City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Wanning,CN,18.8003,110.3967,79.16,89,91,5.41,overcast clouds
80,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,92,81,8.93,moderate rain
81,Hualmay,PE,-11.0964,-77.6139,65.44,70,26,12.33,scattered clouds
82,Puerto Palomas,MX,31.7667,-107.6167,77.68,36,1,1.59,clear sky
83,Una,IN,20.8167,71.0333,77.16,83,84,8.08,broken clouds
84,Mackenzie,CA,55.2999,-123.1698,52.02,66,0,6.91,clear sky
85,Pachino,IT,36.7186,15.0907,70.79,63,5,8.95,clear sky
86,Isabela,PH,6.7085,121.9711,80.31,84,100,5.68,overcast clouds
87,Saldanha,ZA,-33.0117,17.9442,53.65,66,0,15.14,clear sky
88,Avarua,CK,-21.2078,-159.775,78.85,73,40,19.57,scattered clouds
89,Nasice,HR,45.4886,18.0878,54.75,88,11,3.44,few clouds
90,Isangel,VU,-19.55,169.2667,73.94,67,21,10.83,few clouds
91,Pombia,IT,45.653,8.6336,64.13,85,0,3.44,clear sky
92,Tigil,RU,57.8,158.6667,45.1,85,100,13.6,overcast clouds
93,Upernavik,GL,72.7868,-56.1549,23.07,80,77,5.12,broken clouds
94,Dedougou,BF,12.4667,-3.4667,85.68,56,20,1.34,few clouds
95,Nongstoin,IN,25.5167,91.2667,63.39,92,99,1.86,overcast clouds
96,Bengkulu,ID,-3.8004,102.2655,74.71,93,100,5.88,moderate rain
97,Mahebourg,MU,-20.4081,57.7,72.25,78,40,11.5,scattered clouds
98,Cape Town,ZA,-33.9258,18.4232,58.12,59,0,5.75,clear sky
99,Lavrentiya,RU,65.5833,-171.0,35.38,73,20,5.68,few clouds
100,Port Lincoln,AU,-34.7333,135.8667,56.88,94,12,9.17,few clouds
101,Nagato,JP,34.3833,131.2,68.94,89,100,21.61,overcast clouds
102,Barrow,US,71.2906,-156.7887,26.62,93,100,6.91,overcast clouds
103,Mitsamiouli,KM,-11.3847,43.2844,75.76,79,19,5.19,few clouds
104,Tiksi,RU,71.6872,128.8694,21.96,86,100,12.59,overcast clouds
105,Dikson,RU,73.5069,80.5464,33.35,92,100,20.22,overcast clouds
106,Los Llanos De Aridane,ES,28.6585,-17.9182,74.95,50,97,8.05,overcast clouds
107,Batagay,RU,67.6333,134.6333,13.59,98,94,1.68,overcast clouds
108,Kruisfontein,ZA,-34.0033,24.7314,53.89,81,100,2.82,overcast clouds
109,Zunyi,CN,27.6867,106.9072,67.05,89,5,1.61,clear sky
110,Nikolayevka,RU,53.1257,47.2041,46.4,88,100,15.14,overcast clouds
111,Moree,AU,-29.4667,149.85,58.28,73,100,12.93,moderate rain
112,Nikolskoye,RU,59.7035,30.7861,43.81,96,72,1.48,broken clouds
113,Turkistan,KZ,43.0,68.0,55.94,30,0,12.19,clear sky
114,Naryan-Mar,RU,67.6713,53.087,40.21,82,100,11.07,overcast clouds
115,Annau,TM,37.8876,58.516,62.1,42,0,2.3,clear sky
116,East London,ZA,-33.0153,27.9116,63.37,73,8,10.2,clear sky
117,Khandyga,RU,62.6667,135.6,18.14,69,100,4.29,overcast clouds
118,Sitka,US,57.0531,-135.33,57.09,62,75,6.91,broken clouds
119,Florida,US,28.7505,-82.5001,80.91,66,40,13.8,scattered clouds
120,Carnarvon,AU,-24.8667,113.6333,66.45,69,0,12.8,clear sky
121,Romny,UA,50.751,33.4747,47.12,92,100,12.41,overcast clouds
122,Broome,US,42.2506,-75.833,56.14,72,100,13.8,overcast clouds
123,Lander,US,42.833,-108.7307,68.11,40,0,5.75,clear sky
124,Sobolevo,RU,54.4299,31.8996,42.94,96,100,9.46,overcast clouds
125,Shizuishan,CN,39.2333,106.7694,49.14,35,95,6.91,overcast clouds
126,Acapulco,MX,16.8634,-99.8901,84.83,69,50,7.36,scattered clouds
127,Maragogi,BR,-9.0122,-35.2225,76.26,71,5,7.23,clear sky
128,Lebu,CL,-37.6167,-73.65,53.26,90,31,10.67,scattered clouds
129,Nchelenge,ZM,-9.3451,28.734,76.26,39,22,5.75,few clouds
130,Margate,GB,51.3813,1.3862,61.9,86,100,4.0,overcast clouds
131,Rosarito,MX,32.3333,-117.0333,82.63,73,42,8.43,scattered clouds
132,Richards Bay,ZA,-28.783,32.0377,68.45,67,72,2.98,broken clouds
133,Ixtapa,MX,20.7,-105.2,87.22,70,41,3.0,scattered clouds
134,Ponta Do Sol,PT,32.6667,-17.1,74.71,80,15,2.59,few clouds
135,Mecca,SA,21.4267,39.8261,85.8,33,2,4.05,clear sky
136,Chokurdakh,RU,70.6333,147.9167,19.96,96,98,7.58,light snow
137,Aviles,ES,43.5547,-5.9248,65.37,92,75,0.0,broken clouds
138,Kenai,US,60.5544,-151.2583,48.29,80,75,17.27,light rain
139,Half Moon Bay,US,37.4636,-122.4286,78.62,76,100,12.66,overcast clouds
140,Norfolk,US,42.1668,-71.2495,57.88,86,100,8.05,overcast clouds
141,Lichuan,CN,30.3,108.85,59.23,96,100,4.07,overcast clouds
142,Saint George,US,37.1041,-113.5841,81.79,33,0,3.0,clear sky
